XLabel,Wavenumber
YLabel,Response
FileType,Single Beam
DisplayDirection,20300
PeakDirection,20312
586.247419,-0.000254
588.175865,-0.000258
590.104310,-0.000140
592.032756,-0.000034
593.961201,0.000049
595.889647,0.000176
597.818092,0.000321
599.746538,0.000395
601.674983,0.000377
603.603428,0.000366
605.531874,0.000422
607.460319,0.000428
609.388765,0.000251
611.317210,-0.000065
613.245656,-0.000348
615.174101,-0.000441
617.102547,-0.000319
619.030992,-0.000078
620.959438,0.000146
622.887883,0.000207
624.816329,0.000033
626.744774,-0.000171
628.673219,-0.000114
630.601665,0.000103
632.530110,0.000244
634.458556,0.000372
636.387001,0.000493
638.315447,0.000407
640.243892,0.000155
642.172338,0.000050
644.100783,0.000158
646.029229,0.000233
647.957674,0.000194
649.886119,0.000186
651.814565,0.000225
653.743010,0.000260
655.671456,0.000387
657.599901,0.000628
659.528347,0.000801
661.456792,0.000847
663.385238,0.000861
665.313683,0.000836
667.242129,0.000820
669.170574,0.000969
671.099020,0.001215
673.027465,0.001312
674.955910,0.001231
676.884356,0.001152
678.812801,0.001156
680.741247,0.001186
682.669692,0.001199
684.598138,0.001264
686.526583,0.001409
688.455029,0.001476
690.383474,0.001377
692.311920,0.001319
694.240365,0.001508
696.168810,0.001850
698.097256,0.002178
700.025701,0.002407
701.954147,0.002464
703.882592,0.002317
705.811038,0.002121
707.739483,0.002028
709.667929,0.001994
711.596374,0.001955
713.524820,0.001962
715.453265,0.002062
717.381711,0.002197
719.310156,0.002284
721.238601,0.002301
723.167047,0.002303
725.095492,0.002327
727.023938,0.002351
728.952383,0.002347
730.880829,0.002273
732.809274,0.002126
734.737720,0.002031
736.666165,0.002083
738.594611,0.002152
740.523056,0.002047
742.451501,0.001850
744.379947,0.001846
746.308392,0.002080
748.236838,0.002339
750.165283,0.002504
752.093729,0.002546
754.022174,0.002419
755.950620,0.002225
757.879065,0.002169
759.807511,0.002296
761.735956,0.002404
763.664402,0.002309
765.592847,0.002128
767.521292,0.002116
769.449738,0.002288
771.378183,0.002456
773.306629,0.002491
775.235074,0.002417
777.163520,0.002345
779.091965,0.002367
781.020411,0.002447
782.948856,0.002465
784.877302,0.002334
786.805747,0.002083
788.734192,0.001928
790.662638,0.002098
792.591083,0.002503
794.519529,0.002760
796.447974,0.002648
798.376420,0.002345
800.304865,0.002140
802.233311,0.002106
804.161756,0.002160
806.090202,0.002228
808.018647,0.002275
809.947093,0.002330
811.875538,0.002398
813.803983,0.002384
815.732429,0.002291
817.660874,0.002231
819.589320,0.002197
821.517765,0.002133
823.446211,0.002075
825.374656,0.002062
827.303102,0.002099
829.231547,0.002170
831.159993,0.002202
833.088438,0.002142
835.016883,0.002054
836.945329,0.002040
838.873774,0.002112
840.802220,0.002225
842.730665,0.002340
844.659111,0.002405
846.587556,0.002368
848.516002,0.002236
850.444447,0.002092
852.372893,0.002028
854.301338,0.002078
856.229784,0.002166
858.158229,0.002187
860.086674,0.002170
862.015120,0.002231
863.943565,0.002357
865.872011,0.002425
867.800456,0.002376
869.728902,0.002258
871.657347,0.002164
873.585793,0.002141
875.514238,0.002146
877.442684,0.002154
879.371129,0.002174
881.299574,0.002156
883.228020,0.002058
885.156465,0.001922
887.084911,0.001819
889.013356,0.001774
890.941802,0.001799
892.870247,0.001942
894.798693,0.002196
896.727138,0.002352
898.655584,0.002180
900.584029,0.001823
902.512475,0.001670
904.440920,0.001818
906.369365,0.002006
908.297811,0.002043
910.226256,0.002025
912.154702,0.002072
914.083147,0.002041
916.011593,0.001779
917.940038,0.001508
919.868484,0.001527
921.796929,0.001769
923.725375,0.001947
925.653820,0.001952
927.582265,0.001923
929.510711,0.002005
931.439156,0.002144
933.367602,0.002188
935.296047,0.002110
937.224493,0.001992
939.152938,0.001886
941.081384,0.001857
943.009829,0.001980
944.938275,0.002192
946.866720,0.002332
948.795166,0.002361
950.723611,0.002308
952.652056,0.002124
954.580502,0.001847
956.508947,0.001701
958.437393,0.001778
960.365838,0.001925
962.294284,0.001982
964.222729,0.001941
966.151175,0.001906
968.079620,0.001956
970.008066,0.002036
971.936511,0.002064
973.864956,0.002042
975.793402,0.001989
977.721847,0.001894
979.650293,0.001782
981.578738,0.001753
983.507184,0.001802
985.435629,0.001807
987.364075,0.001753
989.292520,0.001691
991.220966,0.001597
993.149411,0.001478
995.077857,0.001398
997.006302,0.001401
998.934747,0.001494
1000.863193,0.001622
1002.791638,0.001751
1004.720084,0.001878
1006.648529,0.001893
1008.576975,0.001730
1010.505420,0.001535
1012.433866,0.001457
1014.362311,0.001469
1016.290757,0.001481
1018.219202,0.001456
